type,x,y,z
collision,-13.16,75.86,2.06
collision,-12.2,75.04,1.85
collision,-13.57,75.03,-1.42
collision,-12.35,75.73,2.33
collision,-8.65,74.5,2.31
collision,-2.21,64.79,-1.82
collision,-1.1,64.99,-0.78
collision,-1.78,65.79,1.8
collision,-2.06,64.26,0.76
collision,-5.15,63.92,-1.44
collision,-4.75,65.29,2
collision,-0.97,65.89,1.47
collision,-43.86,24.49,-0.59
collision,-45.52,22.86,0.74
collision,-46.99,21.43,-0.04
collision,-47.05,21.37,-0.42
collision,-46.73,21.69,0.54
collision,-44.29,24.07,0.42
collision,-45.79,22.6,-0.11
collision,-45.4,22.98,-0.27
collision,-45.19,23.19,0.6
collision,-47.34,21.08,-0.59
collision,-46.8,21.62,0.48
collision,-45.07,23.3,0.74
collision,-42.66,25.66,-0.75
collision,-46,22.4,0.51
collision,-46.33,22.08,0.61
collision,-44.78,23.58,-0.69
collision,-45.99,22.4,0.62
collision,-46.97,21.45,0.48
collision,-46.8,21.61,0.29
collision,-20.43,61.58,1.9
collision,-21.56,58.92,-1.58
collision,-21.91,58.17,2.07
collision,-21.88,58.18,-1.47
collision,-19.93,62.74,1.25
collision,-40.09,28.91,0.48
collision,-26.51,48.84,-1.16
collision,-25.49,51.19,-1.41
collision,-26.05,49.94,1.04
collision,-18.65,66.8,2.29
collision,-19.13,65.69,1.99
collision,-17.86,68.6,0.85
collision,-52.34,16.74,-0.25
collision,-52.7,16.39,0.25
collision,-52.36,16.72,0.2
collision,-52.1,16.97,-0.36
collision,-51.48,17.58,0.3
collision,-52.78,16.31,-0.06
collision,-50.34,18.69,0.19
collision,-52.44,16.64,0.01
collision,-50.99,18.06,0.16
collision,-52.46,16.62,-0.36
collision,-50.7,18.34,0.51
collision,-49.16,19.84,0.51
collision,-50.03,18.99,-0.55
collision,-52.03,17.04,-0.07
collision,-49.44,19.57,0.09
collision,-49.69,19.33,0.11
collision,-48.76,20.23,0.42
collision,-50.43,18.61,0.32
collision,-50.25,18.78,0.03
collision,-51.8,17.27,0.34
collision,-50.29,18.74,0.1
collision,-51.92,17.15,0.46
collision,-51.98,17.1,-0.32
collision,-50.16,18.87,0.13
collision,-52.07,17.01,0.46
collision,-52.08,16.99,-0.35
collision,-52.61,16.48,-0.41
collision,-50.84,18.2,-0.36
collision,-52.54,16.54,0.29
collision,-52.79,16.3,-0.18
collision,-50.22,18.81,0.26
collision,-48.89,20.11,0.1
collision,-49.56,19.46,-0.06
collision,-51.02,18.03,-0.51
collision,-48.66,20.33,-0.55
collision,-51.78,17.29,-0.47
collision,-49.18,19.83,-0.51
collision,-52.58,16.5,0.1
collision,-51.98,17.09,-0.25
collision,-52.54,16.55,-0.02
collision,-52.38,16.71,0.34
collision,-52.55,16.54,-0.19
collision,-48.99,20.01,-0.6
collision,-52.23,16.85,0
collision,-52.64,16.45,0.32
collision,-50.6,18.44,0.31
collision,-50.65,18.39,0.44
collision,-51.63,17.44,0.22
collision,-51.41,17.65,0.23
collision,-51.19,17.87,-0.3
collision,-52.35,16.73,0.38
collision,-49.22,19.78,-0.29
collision,-52.11,16.97,0.04
collision,-52.63,16.45,0.2
collision,-50.27,18.76,0.11
collision,-51.5,17.56,0.02
collision,-52.37,16.71,-0.13
collision,-51.26,17.8,-0.05
collision,-51.13,17.92,-0.1
collision,-48.52,20.47,-0.37
collision,-50.26,18.77,0
collision,-51.1,17.95,-0.35
collision,-50.74,18.3,0.01
collision,-49.33,19.68,-0.2
collision,-48.91,20.08,0.24
collision,-52.38,16.7,0.03
collision,-50,19.02,0.05
collision,-50.33,18.7,0.17
collision,-49.05,19.95,0.31
collision,-52.18,16.89,0.35
collision,-50.09,18.94,0.4
collision,-50.25,18.78,0.29
collision,-49.82,19.2,0.43
collision,-51.57,17.49,-0.45
collision,-51.46,17.6,0.35
collision,-49.89,19.14,0.39
collision,-49.49,19.52,-0.5
collision,-51.34,17.71,0.1
collision,-51.04,18.01,-0.5
collision,-52.75,16.34,0.14
collision,-52.74,16.36,0.26
collision,-55.41,13.3,0.11
collision,-53.82,14.85,0.2
collision,-55.17,13.53,-0.05
collision,-55.1,13.6,0.17
collision,-54.28,14.4,0.15
collision,-54.68,14.01,-0.06
collision,-52.8,16.11,-0.1
collision,-53.17,16.33,0.33
collision,-52.88,16.16,0.27
collision,-54.48,14.21,0.27
collision,-53.34,15.32,-0.03
collision,-54.08,14.6,-0.13
collision,-53.52,15.14,-0.06
collision,-53.25,15.41,0.25
collision,-52.71,15.94,0.33
collision,-56.15,12.58,0.04
collision,-54.09,14.59,0.12
collision,-55.55,13.17,-0.07
collision,-55.17,13.53,0.22
collision,-56.01,12.71,-0.11
collision,-55.75,12.97,0.16
collision,-53.05,15.61,-0.12
collision,-54.48,14.21,-0.13
collision,-53.1,15.56,-0.37
collision,-54,14.68,-0.09
collision,-54.26,14.42,0.08
collision,-55.78,12.94,-0.05
collision,-56.12,12.61,-0.07
collision,-55.71,13,0.05
collision,-54.06,14.62,-0.1
collision,-54.9,13.79,-0.15
collision,-54.14,14.54,0.29
collision,-54.5,14.19,0.24
collision,-54.02,14.66,-0.12
collision,-54.61,14.08,-0.04
collision,-55.23,13.47,-0.2
collision,-54.3,14.38,0.16
collision,-55.43,13.28,0.1
collision,-54.2,14.48,0.03
collision,-54.15,14.53,0.2
collision,-55.14,13.57,0.17
collision,-52.89,15.76,-0.12
collision,-52.71,15.94,0.38
collision,-52.78,16.1,0.33
collision,-55.08,13.62,-0.23
collision,-54.16,14.52,0.26
collision,-53.36,15.3,0.34
collision,-53.94,14.74,0.06
collision,-54.68,14.02,-0.01
collision,-52.98,15.68,0.04
collision,-53.78,14.89,0.21
collision,-55.33,13.38,0.2
collision,-53.53,15.14,0.15
collision,-55.16,13.54,0.23
collision,-55.98,12.74,0.05
collision,-55.91,12.81,-0.1
collision,-55.1,13.6,0.16
collision,-52.65,16,0.07
collision,-55.42,13.29,-0.06
collision,-52.76,15.89,-0.16
collision,-55,13.7,0.05
collision,-53.26,15.39,0.23
collision,-53.22,15.44,-0.08
collision,-53.28,16.39,0.25
collision,-53.59,15.07,-0.04
collision,-53.22,15.44,-0.35
collision,-54.03,14.65,-0.01
collision,-52.83,15.82,0.21
collision,-56.12,12.61,0.09
collision,-53.05,16.26,0.23
collision,-55.21,13.5,-0.06
collision,-55.5,13.21,0.13
collision,-53.28,15.38,-0.09
collision,-53.02,15.64,-0.15
collision,-54.02,14.66,-0.08
collision,-54.92,13.78,0.18
collision,-55.49,13.23,-0.04
collision,-52.83,15.82,0.17
collision,-56.18,12.54,-0.04
collision,-56.06,12.66,-0.1
collision,-52.98,16.22,-0.4
collision,-53.25,15.41,-0.25
collision,-53.8,14.87,-0.03
collision,-53.75,14.92,0.29
collision,-55.17,13.53,0.21
collision,-55.56,13.15,0.18
collision,-54.23,14.46,0.22
collision,-55.88,12.84,-0.01
collision,-22.31,57.26,-1.68
collision,-23.48,54.6,1.82
collision,-23.67,54.12,-1.45
collision,-24.12,53.07,-1.72
collision,-25.01,51.59,-1.83
collision,-23.56,54.38,-1.82
collision,53.38,14.05,-0.16
collision,-50.38,34.62,0.41
collision,-52.11,32.55,-0.8
collision,53.28,14.23,0.14
collision,-49.92,34.13,-0.72
collision,-50.87,33.89,0.44
collision,-50.5,34.82,0.78
collision,-52.01,33.15,0.03
collision,-51.92,33.56,0.59
collision,-50.81,33.02,-0.74
collision,-50.4,33.35,-0.75
collision,-51.27,34.2,1.09
collision,-51.77,34.04,1.13
collision,-51.87,33.89,0.99
collision,53.22,14.27,0.09
collision,-52.38,32.61,-0.62
collision,-50.44,33.12,-0.91
collision,-51.26,34.1,0.95
collision,-50.48,34.38,0.33
collision,5.01,83.19,-2.01
collision,17.62,84.65,3.05
collision,73.3,64.64,-1.7
collision,72.57,64.74,-2.09
collision,73.04,65.32,-1.53
